datetime,Month,Day,temp,feelslike,humidity,snow,windspeed,cloudcover,visibility
1/1/2022,01,01,11.6,11.6,91.6,0,13.1,100,8.7
1/2/2022,01,02,10.2,9.4,83.8,0,22.9,91.5,11.8
1/3/2022,01,03,-1,-6.2,49.9,0,26.1,63.4,16
1/4/2022,01,04,-2.6,-6.5,49.1,0,19.9,10.1,16
1/5/2022,01,05,4.2,2,77,0,20.5,67.2,13.5
1/6/2022,01,06,3.2,0.3,50.2,9.5,21.3,31.2,16
1/7/2022,01,07,-0.9,-5.9,65.9,5.7,24,72.4,10.1
1/8/2022,01,08,-3.3,-7.4,44.1,0,24,7.9,16
1/9/2022,01,09,2.2,-1.7,66.8,0,22.3,77.8,14.8
1/10/2022,01,10,-0.7,-5.6,47,0,33.6,41.7,15.9
1/11/2022,01,11,-7.3,-12.9,40.8,0,35.3,10.7,15.5
1/12/2022,01,12,-0.2,-3.8,46.2,0,22.3,16.5,16
1/13/2022,01,13,4.4,3.2,59.3,0,11.6,39.4,15.7
1/14/2022,01,14,3.1,-0.7,66.2,0,29.6,34.6,15.9
1/15/2022,01,15,-8.7,-14.9,45.3,0,22.4,14.2,16
1/16/2022,01,16,-6.3,-11.9,64.9,0.4,29.3,57,13.6
1/17/2022,01,17,3.6,-0.7,75.8,0,34.9,98.7,12.4
1/18/2022,01,18,0.6,-4.2,46.6,0,28.8,52.4,16
1/19/2022,01,19,4.6,2.1,47.9,0,22.3,29,16
1/20/2022,01,20,2.1,-1.5,61.3,0.9,22.3,69.8,12.6
1/21/2022,01,21,-7.5,-13.6,42.7,0,21.9,22.6,16
1/22/2022,01,22,-5.5,-9.7,47.1,0,18.1,16.9,16
1/23/2022,01,23,-1,-4.5,45.4,0,20.5,72.5,14.6
1/24/2022,01,24,-0.4,-2.9,63.5,0,16.3,94.8,14.7
1/25/2022,01,25,2.9,0.1,56.2,0,19.8,65.3,14.7
1/26/2022,01,26,-4.1,-8.8,37.9,0,24.1,5.7,16
1/27/2022,01,27,-3.6,-7.4,44.2,0,15.7,29.1,15.8
1/28/2022,01,28,-0.5,-3.2,67.2,10.4,21,100,8.1
1/29/2022,01,29,-7,-14.7,69.2,9.2,29.7,91.8,6
1/30/2022,01,30,-7.2,-13.2,45.5,1.8,29.7,12.2,16
1/31/2022,01,31,-3.5,-6.2,44.6,0,12.1,24.6,16
2/1/2022,02,01,-0.4,-3.8,57.3,0,18.1,31.4,16
2/2/2022,02,02,4.1,2,81.9,0,14.4,78.8,14
2/3/2022,02,03,7,6.1,93.5,0,11,100,8.6
2/4/2022,02,04,5.1,3.4,89.9,1.5,19.9,100,12.7
2/5/2022,02,05,-2.8,-5.1,62.1,0,11.8,57.4,15.9
2/6/2022,02,06,-2.8,-6.3,60.1,0,16.3,7,16
2/7/2022,02,07,2.3,-0.3,86.6,0.4,16.6,100,11.1
